Temperature [_ C] ;Humidity [%];Soil moisture %;Reference evapotranspiration (mm/giorno);Evapotranspiration (mm/giorno);Crop Coefficient;Crop Coefficient stage;Nitrogen [mg/kg];Phosphorus [mg/kg];Potassium;Solar Radiation ghi;Wind Speed;Days of planted;pH
29.5;78.7;30,60%;5,574328202;2,341217845;0.42;Initial Stage;118;42;57;622;2.09;3;1.75
29.5;80.6;30,60%;5,558133991;2,334416276;0.42;Initial Stage;105;37;53;622;2.09;3;3.53
29.5;79.7;30,70%;5,565780865;2,337627963;0.42;Initial Stage;105;37;53;622;2.09;3;3.66
29.4;81.3;30,70%;5,552071511;2,331870035;0.42;Initial Stage;105;37;53;622;2.09;3;3.59
29.4;79.2;30,60%;0,556985241;2,339338012;0.42;Initial Stage;105;37;53;622;2.09;3;3.61
29.4;79.8;30,60%;5,564748348;2,337194306;0.42;Initial Stage;105;37;53;622;2.09;3;3.58
29.4;80.7;30,60%;5,557128095;0,023339938;0.42;Initial Stage;105;37;53;622;2.09;3;3.53
29.4;80.7;30,60%;5,557128095;0,023339938;0.42;Initial Stage;105;37;53;622;2.09;3;3.53
29.5;79.2;30,60%;5,570047789;2,339420071;0.42;Initial Stage;105;37;53;622;2.09;3;3.55
29.5;79.1;30,70%;5,570902788;2,339779171;0.42;Initial Stage;105;37;53;622;2.09;3;3.51
29.6;79.9;30,70%;5,564249029;2,336984592;0.42;Initial Stage;105;37;53;622;2.09;3;3.5
29.6;81.9;30,60%;5,547286177;2,329860194;0.42;Initial Stage;105;37;53;622;2.09;3;3.51
29.7;79.1;30,60%;5,571277202;2,339936425;0.42;Initial Stage;105;37;53;622;2.09;3;3.56
30.3;75.6;30,60%;1,778016721;0,746767023;0.42;Initial Stage;105;37;53;196;2.54;3;3.53
30.2;76.7;30,60%;1,774826828;7,454272678;0.42;Initial Stage;117;42;58;196;2.54;3;3.55
30.2;76.2;30,60%;1,776240763;7,460211206;0.42;Initial Stage;117;42;58;196;2.54;3;3.53
30.2;74.7;30,60%;1,780510627;7,478144634;0.42;Initial Stage;117;42;58;196;2.54;3;3.53
30.2;75.8;30,60%;1,777375254;7,464976067;0.42;Initial Stage;117;42;58;196;2.54;3;3.49
30.2;75.7;30,60%;1,777659344;7,466169245;0.42;Initial Stage;117;42;58;196;2.54;3;3.52
31.2;95;58,70%;1,379013149;5,975723646;0.42;Initial Stage;117;42;58;171;1.08;5;3.49
31.2;95;58,70%;1,379037365;0,597582858;0.433333333;Initial Stage;117;42;58;171;1.08;5;3.49
25.9;94.4;30,90%;1,380057259;5,980248124;0.433333333;Initial Stage;106;38;53;171;1.08;5;3.47
26;92.6;28,40%;1,383170928;5,993740687;0.433333333;Initial Stage;106;38;53;171;1.08;5;3.52
26;95;31,00%;1,379059826;5,975925913;0.433333333;Initial Stage;106;38;53;171;1.08;5;3.47
25.9;95;29,70%;1,379037365;0,597582858;0.433333333;Initial Stage;106;38;53;171;1.08;5;3.44
25.9;98.2;28,10%;1,373651502;5,952489844;0.433333333;Initial Stage;106;38;53;171;1.08;5;4.81
25.9;92.7;26,50%;1,382964693;5,992847002;0.433333333;Initial Stage;106;38;54;171;1.08;5;3.63
28.9;80.4;22,80%;3,028080699;1,312168303;0.433333333;Initial Stage;107;37;50;35;1.85;5;3.59
28.8;80.9;22,50%;3,025746596;1,311156858;0.433333333;Initial Stage;107;37;50;35;1.85;5;3.6
28.8;79.9;31,40%;3,030198097;1,313085842;0.433333333;Initial Stage;107;37;50;35;1.85;5;3.57
30.2;96.3;53,20%;3,034677521;1,315026926;0.433333333;Initial Stage;107;37;50;35;1.85;5;3.62
25.8;95.7;20,90%;0,152833401;6,724669646;0.433333333;Initial Stage;44;15;22;195;1.21;6;3.59
25.7;95;21,20%;1,529593845;0,673021292;0.44;Initial Stage;44;15;22;195;1.21;6;3.59
25.8;93.7;21,40%;1,532027075;6,740919131;0.44;Initial Stage;44;15;22;195;1.21;6;3.58
25.8;95;20,40%;1,529622154;6,730337479;0.44;Initial Stage;44;15;22;195;1.21;6;3.66
25.8;93.7;20,40%;1,532027075;6,740919131;0.44;Initial Stage;44;15;22;195;1.21;6;3.6
25.8;97.7;20,40%;1,524679334;6,708589071;0.44;Initial Stage;44;15;22;195;1.21;6;3.6
25.9;97.7;58,70%;1,524691357;0,670864197;0.44;Initial Stage;44;15;22;195;1.21;6;3.67
27.4;88.5;58,70%;5,038062179;2,216747359;0.44;Initial Stage;107;37;50;642;0.65;6;3.6
27.5;88.4;21,50%;5,038818152;2,217079987;0.44;Initial Stage;107;37;50;642;0.65;6;3.57
27.5;87.5;21,50%;5,044701204;0,221966853;0.44;Initial Stage;107;37;50;642;0.65;6;3.57
27.5;84.6;21,40%;5,063866459;2,228101242;0.44;Initial Stage;107;37;50;642;0.65;6;3.58
27.5;86.8;21,50%;5,049297859;2,221691058;0.44;Initial Stage;107;37;50;642;0.65;6;3.61
27.4;83.9;21,30%;5,068349849;2,230073933;0.44;Initial Stage;107;37;50;642;0.65;6;3.56
27.4;80.8;21,50%;5,089231844;2,239262012;0.44;Initial Stage;107;37;50;642;0.65;6;3.57
27.5;83.6;21,40%;5,070551137;0,022310425;0.44;Initial Stage;107;37;50;642;0.65;6;3.56
27.5;81.5;21,30%;0,508472036;2,237276958;0.44;Initial Stage;107;37;50;642;0.65;6;3.54
27.5;86.3;21,30%;5,052592541;2,223140718;0.44;Initial Stage;107;37;50;642;0.65;6;3.57
27.4;82.3;21,50%;5,079078556;2,234794565;0.44;Initial Stage;107;37;50;642;0.65;6;3.55
27.5;86.3;21,30%;5,052592541;2,223140718;0.44;Initial Stage;107;37;50;642;0.65;6;3.55
28.8;78.3;26,80%;3,596095444;1,582281995;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.53
28.8;78.2;26,50%;3,596618254;1,582512032;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.56
28.8;78.9;26,50%;3,592965567;1,580904849;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.54
28.8;77.9;26,70%;0,359818869;1,583203024;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.53
28.8;78.1;26,80%;3,597141397;1,582742215;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.58
28.8;79;26,50%;3,592445078;1,580675834;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.53
28.8;78.9;26,50%;3,592965567;1,580904849;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.57
28.8;77;26,60%;3,602918218;1,585284016;0.44;Initial Stage;107;37;50;43;19.300.000.000.000.000;6;3.54
28.7;78.5;26,80%;3,594888618;1,581750992;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.51
28.7;77.6;26,50%;3,599586431;0,158381803;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.57
28.7;78.5;26,50%;3,594888618;1,581750992;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.54
28.7;78.5;26,50%;3,594888618;1,581750992;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.54
28.8;81.2;26,80%;3,581076498;1,575673659;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.59
28.7;80.5;26,50%;3,584544444;1,577199555;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.55
28.7;80;26,50%;3,587118336;1,578332068;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.6
28.7;78.6;26,60%;3,594368304;1,581522054;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.55
28.7;78.3;26,50%;3,595930241;1,582209306;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.53
28.7;79.8;26,50%;3,588150143;1,578786063;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.61
28.7;78.3;26,50%;3,595930241;1,582209306;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.59
28.7;79;26,80%;3,592290347;1,580607752;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.59
28.6;78.3;26,60%;3,595760778;1,582134742;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.58
28.7;78.5;26,50%;3,594888618;1,581750992;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.63
28.7;78;26,50%;3,597495172;1,582897876;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.61
28.7;77.1;26,80%;3,602208094;1,584971561;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.59
28.7;79.6;26,50%;3,589183242;1,579240627;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.59
28.7;79;26,40%;3,592290347;1,580607752;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.61
28.6;79.5;26,50%;3,589548692;1,579401424;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.59
28.6;79;26,80%;3,592131328;1,580537784;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.61
28.6;79.3;26,60%;3,590580769;1,579855539;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.63
28.6;79;26,40%;3,592131328;1,580537784;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.61
28.6;78.5;26,50%;3,594722144;1,581677743;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.66
28.6;79;26,80%;3,592131328;1,580537784;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.64
28.6;78.3;26,50%;3,595760778;1,582134742;0.44;Initial Stage;117;42;58;43;19.300.000.000.000.000;6;3.63
28.5;76.8;58,90%;3,604671745;1,586055568;0.44;Initial Stage;117;42;58;43;1.44;6;3.63
28.5;77.6;58,90%;3,600496577;1,584218494;0.44;Initial Stage;117;42;58;43;1.44;6;3.68
28.5;78.5;26,40%;3,595825143;1,582163063;0.44;Initial Stage;117;42;58;43;1.44;6;3.65
28.5;77.6;26,50%;3,600496577;1,584218494;0.44;Initial Stage;117;42;58;43;1.44;6;3.62
28.5;78.1;26,80%;3,597898014;1,583075126;0.44;Initial Stage;117;42;58;43;1.44;6;3.69
28.5;77;26,40%;3,603625923;1,585595406;0.44;Initial Stage;117;42;58;43;1.44;6;3.67
28.5;78;26,40%;5,856231239;2,576741745;0.44;Initial Stage;117;42;58;5;1.44;6;3.64
28.5;77.8;26,50%;5,858215749;0,257761493;0.44;Initial Stage;117;42;58;5;1.44;6;3.66
28.5;78.5;26,80%;5,851281038;2,574563657;0.44;Initial Stage;117;42;58;5;1.44;6;3.67
28.5;77.3;26,60%;5,863188184;2,579802801;0.44;Initial Stage;117;42;58;5;1.44;6;3.65
28.5;79.5;26,40%;5,841427585;2,570228138;0.44;Initial Stage;117;42;58;5;1.44;6;3.65
28.4;78.6;26,40%;5,849961101;2,573982885;0.44;Initial Stage;117;42;58;5;1.44;6;3.65
28.4;78;26,80%;0,585588239;2,576588252;0.44;Initial Stage;117;42;58;5;1.44;6;3.65
28.4;77.9;26,60%;5,856871477;0,257702345;0.44;Initial Stage;117;42;58;5;1.44;6;3.68
28.4;78.3;26,40%;5,852918917;2,575284324;0.44;Initial Stage;117;42;58;5;1.44;6;3.63
29.7;95;58,70%;2,376993647;1,061723829;0.44;Initial Stage;117;42;58;312;1.69;7;3.65
29.7;95;58,70%;2,376993647;1,061723829;0.446666667;Initial Stage;117;42;58;312;1.69;7;3.65
25.2;95;26,80%;2,376993647;1,061723829;0.446666667;Initial Stage;117;42;58;312;1.69;7;3.67
27.4;89.1;26,80%;5,276467657;0,235682222;0.446666667;Initial Stage;117;42;58;690;1.24;7;3.67
27.4;90.1;26,80%;5,269812243;2,353849469;0.446666667;Initial Stage;117;42;58;690;1.24;7;3.65
25.2;95;22,80%;1,588520088;7,307192406;0.446666667;Initial Stage;44;15;22;217;1.32;9;3.71
25.2;95;22,80%;1,588520088;7,307192406;0.46;Initial Stage;44;15;22;217;1.32;9;3.66
25.3;95;23,00%;1,588557473;7,307364377;0.46;Initial Stage;44;15;22;217;1.32;9;3.67
25.3;95;22,80%;1,588557473;7,307364377;0.46;Initial Stage;44;15;22;217;1.32;9;3.67
25.3;95;23,00%;1,588557473;7,307364377;0.46;Initial Stage;44;15;22;217;1.32;9;3.65
25.3;95;22,70%;1,588557473;7,307364377;0.46;Initial Stage;44;15;22;217;1.32;9;3.68
25.2;95;22,70%;1,588520088;7,307192406;0.46;Initial Stage;44;15;22;217;1.32;9;3.65
25.2;95;22,90%;1,588520088;7,307192406;0.46;Initial Stage;44;15;22;217;1.32;9;3.66
25.2;95;22,90%;1,588520088;7,307192406;0.46;Initial Stage;44;15;22;217;1.32;9;3.67
25.2;95;22,70%;1,588520088;7,307192406;0.46;Initial Stage;44;15;22;217;1.32;9;3.67
28.6;83.8;23,20%;5,922348705;2,724280404;0.46;Initial Stage;117;42;58;804;0.81;9;3.65
28.6;82.6;23,00%;5,931608066;0,272853971;0.46;Initial Stage;117;42;58;804;0.81;9;3.67
28.7;82.3;23,00%;5,934101585;2,729686729;0.46;Initial Stage;117;42;58;804;0.81;9;3.68
28.7;82.8;23,30%;5,930217236;2,727899928;0.46;Initial Stage;117;42;58;804;0.81;9;3.67
28.7;81.6;23,00%;0,593955955;2,732197393;0.46;Initial Stage;117;42;58;804;0.81;9;3.68
28.8;82;23,10%;5,936606015;2,730838767;0.46;Initial Stage;117;42;58;804;0.81;9;3.65
28.7;82.8;23,50%;5,930217236;2,727899928;0.46;Initial Stage;117;42;58;804;0.81;9;3.61
28.6;83.2;22,90%;5,926970039;2,726406218;0.46;Initial Stage;117;42;58;804;0.81;9;3.68
28.5;82.6;23,70%;5,931439819;2,728462317;0.46;Initial Stage;117;42;58;804;0.81;9;3.63
28.6;80.5;23,30%;5,947975284;2,736068631;0.46;Initial Stage;117;42;58;804;0.81;9;3.67
28.7;79.1;23,00%;5,959245954;2,741253139;0.46;Initial Stage;117;42;58;804;0.81;9;3.65
28.8;77.4;23,80%;5,973083696;0,027476185;0.46;Initial Stage;117;42;58;804;0.81;9;3.65
28.8;79.5;23,10%;5,956300069;2,739898032;0.46;Initial Stage;117;42;58;804;0.81;9;3.65
30;62.7;23,10%;1,969530654;9,059841007;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.64
30;62.5;23,10%;1,970131101;9,062603064;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.7
30;63.2;23,70%;1,968033711;9,052955071;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.68
30;62.2;23,10%;1,971033576;9,066754447;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.69
30;61.7;23,10%;1,972542549;9,073695725;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.69
30;62;23,70%;1,971636435;9,069527599;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.66
30;62.2;23,20%;1,971033576;9,066754447;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.71
29.9;63.5;23,20%;1,966962742;9,048028612;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.65
29.9;64;23,50%;1,965479465;9,041205541;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.66
29.9;65.7;23,40%;1,960479173;9,018204196;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.67
29.9;65.5;23,20%;1,961064059;9,020894669;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.69
29.9;65.2;22,90%;1,961943063;9,024938092;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.66
29.9;66.3;23,20%;1,958729836;9,010157246;0.46;Initial Stage;117;42;58;258;27.199.999.999.999.900;9;3.65
28.9;83.7;21,30%;1,868697314;1,376607021;0.75;Development Stage;117;42;58;203;1.02;17;3.68
28.9;84.8;50,20%;1,864018277;0,137316013;0.736666667;Development Stage;117;42;58;203;1.02;17;3.65
27.6;89;50,20%;5,035744181;3,726450694;0.736666667;Development Stage;117;42;58;203;1.02;17;3.67
27.6;96;21,50%;4,987612163;3,690833001;0.74;Development Stage;117;42;58;203;1.02;17;3.66
27.6;87.8;21,20%;5,044183051;3,732695458;0.74;Development Stage;117;42;58;203;1.02;17;3.65
27.6;96.5;21,40%;4,984242385;3,688339365;0.74;Development Stage;117;42;58;203;1.02;17;3.71
27.5;93;21,30%;5,008002216;0,370592164;0.74;Development Stage;117;42;58;203;1.02;17;3.67
29;86.9;20,30%;5,028469968;3,721067776;0.74;Development Stage;117;42;58;203;1.02;17;3.7
29;86.9;21,30%;5,028469968;3,721067776;0.74;Development Stage;117;42;58;203;1.02;17;3.69
29;86.7;19,50%;5,029936565;3,722153058;0.74;Development Stage;117;42;58;203;1.02;17;3.7
28.9;86;19,60%;5,035020224;3,725914966;0.74;Development Stage;117;42;58;203;1.02;17;3.69
28.9;86.3;19,60%;5,032818373;3,724285596;0.74;Development Stage;117;42;58;203;1.02;17;3.69
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;117;42;58;203;1.02;17;3.71
28.9;86;19,60%;5,035020224;3,725914966;0.74;Development Stage;117;42;58;203;1.02;17;3.69
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;117;42;58;203;1.02;17;3.7
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;117;42;58;203;1.02;17;3.68
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;203;1.02;17;3.67
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;203;1.02;17;3.72
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;203;1.02;17;3.74
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.71
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.71
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.76
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.7
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.74
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.71
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.72
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.65
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.71
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.68
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.74
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.7
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.76
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.75
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.71
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.72
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.72
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.7
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.71
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.7
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.77
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.77
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.73
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.72
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.7
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.75
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;3.75
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;6.55
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;5.04
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;1.44
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;4.89
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;0.91
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;17;6.57
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;732;1.44;22;12.26
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;792;1.07;22;7.46
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;792;1.07;22;4.42
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;792;1.07;22;3.96
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;792;1.07;22;3.83
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;792;1.07;22;3.76
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;106;39;55;792;1.07;22;3.74
28.9;85.8;19,60%;5,036490259;3,727002792;0.74;Development Stage;118;39;55;792;1.44;25;3.72
28.3;88.7;23,40%;6,923489062;5,123381906;0.74;Development Stage;118;39;55;792;1.44;25;3.69
28.3;87.2;23,50%;6,940301431;5,135823059;0.74;Development Stage;118;39;55;792;1.44;25;3.72
28.3;88.4;23,20%;6,926840146;5,125861708;0.74;Development Stage;118;39;55;792;1.44;25;3.71
28.3;88.4;23,20%;6,926840146;5,125861708;0.74;Development Stage;118;39;55;792;1.44;25;3.73
28.3;88.4;23,20%;6,926840146;5,125861708;0.74;Development Stage;118;39;55;792;1.44;25;3.72
28.3;88.4;23,20%;6,926840146;5,125861708;0.74;Development Stage;118;39;55;732;1.44;25;3.72
28.3;88.4;23,20%;6,926840146;5,125861708;0.74;Development Stage;118;39;55;732;1.44;25;3.69
28.3;88.4;23,20%;6,926840146;5,125861708;0.74;Development Stage;118;39;55;732;1.44;25;3.72
28.9;83.7;50,30%;1,868697314;1,035167071;0.74;Development Stage;118;39;55;732;1.44;25;3.7
28.9;84.8;50,30%;1,864018277;1,868697314;0.746666667;Development Stage;118;39;55;792;1.44;25;3.69
27.6;89;21,40%;5,035744181;1,864018277;0.736666667;Development Stage;118;39;55;792;1.44;25;3.68
27.6;96;55,80%;4,987612163;5,035744181;0.736666667;Development Stage;118;39;55;792;1.44;25;3.66
27.6;87.8;55,80%;5,044183051;4,987612163;0.74;Development Stage;118;39;55;792;1.44;25;3.67
27.6;96.5;21,40%;4,984242385;5,044183051;0.74;Development Stage;118;39;55;792;1.44;25;3.7
27.5;93;21,30%;5,008002216;4,984242385;0.74;Development Stage;118;39;55;792;1.07;32;3.67
29;86.9;20,30%;5,028469968;5,008002216;0.74;Development Stage;118;39;55;792;1.07;32;3.65
